Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Honda,Amaze 1.2 VX i-VTEC,6565,2017,87150,Petrol,Manual,Pune,Grey,First,Corporate,1198 cc,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0
Maruti Suzuki,Swift DZire VDI,5850,2014,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248 cc,74,190,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,i10 Magna 1.2 Kappa2,2860,2011,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197 cc,79,112,FWD,3585.0,1595.0,1550.0,5.0,35.0
Toyota,Glanza G,10387,2019,37500,Petrol,Manual,Mangalore,Red,First,Individual,1197 cc,82,113,FWD,3995.0,1745.0,1510.0,5.0,37.0
Toyota,Innova 2.4 VX 7 STR [2016-2020],25350,2018,69000,Diesel,Manual,Mumbai,Grey,First,Individual,2393 cc,148,343,RWD,4735.0,1830.0,1795.0,7.0,55.0
Maruti Suzuki,Ciaz ZXi,8775,2017,73315,Petrol,Manual,Pune,Grey,First,Individual,1373 cc,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0
BMW,X1 xDrive20d M Sport,34450,2017,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,1995 cc,188,400,AWD,4439.0,1821.0,1612.0,5.0,51.0
Skoda,Octavia 1.8 TSI Style Plus AT [2017],18070,2017,56000,Petrol,Automatic,Mumbai,White,First,Individual,1798 cc,177,250,FWD,4670.0,1814.0,1476.0,5.0,50.0
Nissan,Terrano XL (D),7475,2015,85000,Diesel,Manual,Mumbai,White,First,Individual,1461 cc,84,200,FWD,4331.0,1822.0,1671.0,5.0,50.0
Hyundai,Elite i20 Sportz 1.2,7683,2017,20281,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
