Age,Make,Model,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
6,Honda,Amaze 1.2 VX i-VTEC,6565,87150,Petrol,Manual,Pune,Grey,First,Corporate,1198,87.0,4500,FWD,3990.0,1680.0,1505.0,5.0,35.0
9,Maruti Suzuki,Swift DZire VDI,5850,75000,Diesel,Manual,Ludhiana,White,Second,Individual,1248,74.0,2000,FWD,3995.0,1695.0,1555.0,5.0,42.0
12,Hyundai,i10 Magna 1.2 Kappa2,2860,67000,Petrol,Manual,Lucknow,Maroon,First,Individual,1197,79.0,4000,FWD,3585.0,1595.0,1550.0,5.0,35.0
4,Toyota,Glanza G,10387,37500,Petrol,Manual,Mangalore,Red,First,Individual,1197,82.0,4200,FWD,3995.0,1745.0,1510.0,5.0,37.0
5,Toyota,Innova 2.4 VX 7 STR [2016-2020],25350,69000,Diesel,Manual,Mumbai,Grey,First,Individual,2393,148.0,1400,RWD,4735.0,1830.0,1795.0,7.0,55.0
6,Maruti Suzuki,Ciaz ZXi,8775,73315,Petrol,Manual,Pune,Grey,First,Individual,1373,91.0,4000,FWD,4490.0,1730.0,1485.0,5.0,43.0
6,BMW,X1 xDrive20d M Sport,34450,75000,Diesel,Automatic,Coimbatore,White,Second,Individual,1995,188.0,1750,AWD,4439.0,1821.0,1612.0,5.0,51.0
6,Skoda,Octavia 1.8 TSI Style Plus AT [2017],18070,56000,Petrol,Automatic,Mumbai,White,First,Individual,1798,177.0,1250,FWD,4670.0,1814.0,1476.0,5.0,50.0
8,Nissan,Terrano XL (D),7475,85000,Diesel,Manual,Mumbai,White,First,Individual,1461,84.0,1900,FWD,4331.0,1822.0,1671.0,5.0,50.0
6,Hyundai,Elite i20 Sportz 1.2,7683,20281,Petrol,Manual,Mumbai,Red,First,Individual,1197,82.0,4000,FWD,3985.0,1734.0,1505.0,5.0,45.0
5,Renault,Kwid 1.0 RXT [2016-2019],5980,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999,67.0,4250,FWD,3679.0,1579.0,1478.0,5.0,28.0
4,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],13975,30672,Petrol,Automatic,Bangalore,Blue,First,Individual,1462,103.0,4400,FWD,4490.0,1730.0,1485.0,5.0,43.0
4,Tata,Harrier XZ [2019-2020],22035,20856,Diesel,Manual,Bangalore,Orange,First,Individual,1956,138.0,1750,FWD,4598.0,1894.0,1706.0,5.0,50.0
6,Volkswagen,Polo GT TSI,12285,41417,Petrol,Automatic,Bangalore,Grey,First,Individual,1197,103.0,1500,FWD,3971.0,1682.0,1469.0,5.0,45.0
